asset,inner_window,zscore_lookback,forward_days,n_orders,spearman_r,spearman_p,n
XLE,20,60,3,4,-0.036112041990672736,0.004441614469103665,6205
XLE,20,60,5,3,-0.08518274920346147,1.819956914898903e-11,6203
XLE,20,60,5,4,-0.05592378290103845,1.0477854201916345e-05,6203
XLE,20,60,10,3,-0.08573206693594207,1.3746995755983592e-11,6198
XLE,20,60,10,4,-0.056891184215274095,7.40785050996223e-06,6198
XLE,20,60,20,3,-0.0716417636578646,1.6835200659139462e-08,6188
XLE,20,60,20,4,-0.04137270752881678,0.001132836721701161,6188
XLE,20,120,2,3,-0.05886873305789396,3.871485598030499e-06,6146
XLE,20,120,2,4,-0.045699752721398694,0.0003385782200660284,6146
XLE,20,120,3,3,-0.08082422687414555,2.2255789717955858e-10,6145
XLE,20,120,3,4,-0.06328112723067009,6.885074198779818e-07,6145
XLE,20,120,5,3,-0.10764224458111123,2.683434710872339e-17,6143
XLE,20,120,5,4,-0.083904607647631,4.503338635755136e-11,6143
XLE,20,120,10,3,-0.10947419454056236,7.90849830233131e-18,6138
XLE,20,120,10,4,-0.09115025410507542,8.388977904268021e-13,6138
XLE,20,120,20,3,-0.10102461977831555,2.24437489409861e-15,6128
XLE,20,120,20,4,-0.08487492540711396,2.8369510863151737e-11,6128
XLE,20,252,2,3,-0.0743251401778459,7.89438738434996e-09,6014
XLE,20,252,2,4,-0.04807949384558905,0.00019152082879078352,6014
XLE,20,252,3,3,-0.09722588970934318,4.170067998169854e-14,6013
XLE,20,252,3,4,-0.06510087664533859,4.3614976867679733e-07,6013
XLE,20,252,5,3,-0.12420575692165627,4.238117966904951e-22,6011
XLE,20,252,5,4,-0.0862237033880541,2.1411190502107714e-11,6011
XLE,20,252,10,3,-0.12761600333339443,3.1263250912049706e-23,6006
XLE,20,252,10,4,-0.09666424929768191,6.033647271568101e-14,6006
XLE,20,252,20,3,-0.1274741104612501,3.796720491377387e-23,5996
XLE,20,252,20,4,-0.09541066341118361,1.3277341258096245e-13,5996
XLE,40,60,2,3,-0.047713194232506174,0.00017398191760897283,6186
XLE,40,60,2,4,-0.05225364998025364,3.926083985959065e-05,6186
XLE,40,60,3,3,-0.06041912784788676,1.98414711573304e-06,6185
XLE,40,60,3,4,-0.0656132222844602,2.408769682535578e-07,6185
XLE,40,60,5,3,-0.07815510822632488,7.571104020081981e-10,6183
XLE,40,60,5,4,-0.07710796298424887,1.2713880417796514e-09,6183
XLE,40,60,10,3,-0.08844333359235558,3.309524181538679e-12,6178
XLE,40,60,10,4,-0.08339297621931338,5.209583216893528e-11,6178
XLE,40,60,20,3,-0.08997770044786119,1.4470174952477694e-12,6168
XLE,40,60,20,4,-0.08867054394835312,3.032335158288577e-12,6168
XLE,40,120,2,3,-0.0637308236036131,5.969839344776818e-07,6126
XLE,40,120,2,4,-0.05732219280697886,7.145317055999027e-06,6126
XLE,40,120,3,3,-0.07149126330155978,2.1299334689279303e-08,6125
XLE,40,120,3,4,-0.07046431789597965,3.381475949947288e-08,6125
XLE,40,120,5,3,-0.08698457802595315,9.228809204324773e-12,6123
XLE,40,120,5,4,-0.08447571135633933,3.575563767628778e-11,6123
XLE,40,120,10,3,-0.09779664662179846,1.7710841822694605e-14,6118
XLE,40,120,10,4,-0.09513420880215158,8.880410856381625e-14,6118
XLE,40,120,20,3,-0.0999420949985272,4.923434492317235e-15,6108
XLE,40,120,20,4,-0.09597447835851707,5.622730405242767e-14,6108
XLE,40,252,2,3,-0.07494402771851859,6.277337272933502e-09,5994
XLE,40,252,2,4,-0.061208246970333995,2.113497509917518e-06,5994
XLE,40,252,3,3,-0.0866526411783189,1.8246148427212156e-11,5993
XLE,40,252,3,4,-0.0750960973727466,5.8660758072322365e-09,5993
XLE,40,252,5,3,-0.10608520152423209,1.8306266664231283e-16,5991
XLE,40,252,5,4,-0.08840893929432887,7.1319102616562695e-12,5991
XLE,40,252,10,3,-0.11659862136787677,1.4277693213782603e-19,5986
XLE,40,252,10,4,-0.09870435616126685,1.9515304975207425e-14,5986
XLE,40,252,20,3,-0.1178580288033183,6.191522910558395e-20,5976
XLE,40,252,20,4,-0.10268493450733994,1.7569526706947204e-15,5976
XLF,5,60,2,3,-0.05062797173436544,6.47064070455098e-05,6221
XLF,5,60,2,4,-0.05685020086463853,7.233771061707099e-06,6221
XLF,5,60,3,3,-0.05888835787440526,3.3606906428413595e-06,6220
XLF,5,60,3,4,-0.06309957302580317,6.344128912792348e-07,6220
XLF,5,60,5,3,-0.05793312427648901,4.849469965239952e-06,6218
XLF,5,60,5,4,-0.07306729434069661,8.011189702114926e-09,6218
XLF,5,60,10,3,-0.06116525034373367,1.4017851020668784e-06,6213
XLF,5,60,10,4,-0.08408080431169955,3.18207122310146e-11,6213
XLF,5,60,20,3,-0.05427798747243698,1.8927715987677624e-05,6203
XLF,5,60,20,4,-0.0706271935050311,2.571344205565686e-08,6203
XLF,5,120,2,3,-0.07038935786006048,3.188757124140295e-08,6161
XLF,5,120,2,4,-0.0704048558308496,3.166638361836473e-08,6161
XLF,5,120,3,3,-0.08403093459164884,3.959890700477113e-11,6160
XLF,5,120,3,4,-0.08177395954312848,1.2967890656982755e-10,6160
XLF,5,120,5,3,-0.08870793172558962,3.0913309985783755e-12,6158
XLF,5,120,5,4,-0.09730650738153765,1.9704580328762755e-14,6158
XLF,5,120,10,3,-0.09640405865435135,3.50501391332633e-14,6153
